label,id,confusable_char,confusable_unicode
oo’,\u006f\u006f\u2019,"oo̓,oo̕,ooʼ,ooˈ,oo՚,oo＇,oo'","\u006f\u006f\u0313,\u006f\u006f\u0315,\u006f\u006f\u02bc,\u006f\u006f\u02c8,\u006f\u006f\u055a,\u006f\u006f\uff07,\u006f\u006f\u0027"
ooy,\u006f\u006f\u0079,,
ou,\u006f\u0075,,
ow,\u006f\u0077,,
ōw,\u014d\u0077,"ōw,o̅w,o︤w,o︥w,o¯w,o‾w","\u006f\u0304\u0077,\u006f\u0305\u0077,\u006f\ufe24\u0077,\u006f\ufe25\u0077,\u006f\u00af\u0077,\u006f\u203e\u0077"
oy,\u006f\u0079,,
ōy,\u014d\u0079,"ōy,o̅y,o︤y,o︥y,o¯y,o‾y","\u006f\u0304\u0079,\u006f\u0305\u0079,\u006f\ufe24\u0079,\u006f\ufe25\u0079,\u006f\u00af\u0079,\u006f\u203e\u0079"
ɔ,\u0254,ᴐ,\u1d10
ɔy,\u0254\u0079,ᴐy,\u1d10\u0079
Ɵ,\u019f,"O̵,O̶","\u004f\u0335,\u004f\u0336"
p,\u0070,,
P,\u0050,,
p̓,\u0070\u0313,"p̒,p̔,p̕,p̍","\u0070\u0312,\u0070\u0314,\u0070\u0315,\u0070\u030d"
ṕ,\u1e55,,
p̕,\u0070\u0315,"p̒,p̔,p̓,p̍","\u0070\u0312,\u0070\u0314,\u0070\u0313,\u0070\u030d"
p',\u0070\u0027,"p̒,p̓,p̔,p̕,p＇,p’,p՚,pʼ,p̍","\u0070\u0312,\u0070\u0313,\u0070\u0314,\u0070\u0315,\u0070\uff07,\u0070\u2019,\u0070\u055a,\u0070\u02bc,\u0070\u030d"
p’,\u0070\u2019,"p̒,p̓,p̔,p̕,p',p̍","\u0070\u0312,\u0070\u0313,\u0070\u0314,\u0070\u0315,\u0070\u0027,\u0070\u030d"
pˈ,\u0070\u02c8,"p̒,p̔,p̓,p̕,p̍,p',p’","\u0070\u0312,\u0070\u0314,\u0070\u0313,\u0070\u0315,\u0070\u030d,\u0070\u0027,\u0070\u2019"
pʼ,\u0070\u02bc,"p̒,p̓,p̔,p̕,p',p’,p̍","\u0070\u0312,\u0070\u0313,\u0070\u0314,\u0070\u0315,\u0070\u0027,\u0070\u2019,\u0070\u030d"
q,\u0071,,
Q,\u0051,,
q̓,\u0071\u0313,"q̒,q̔,q̕,q̍","\u0071\u0312,\u0071\u0314,\u0071\u0315,\u0071\u030d"
q̕,\u0071\u0315,"q̒,q̔,q̓,q̍","\u0071\u0312,\u0071\u0314,\u0071\u0313,\u0071\u030d"
q',\u0071\u0027,"q＇,q’,q՚,qʼ","\u0071\uff07,\u0071\u2019,\u0071\u055a,\u0071\u02bc"
q’,\u0071\u2019,"q',q＇,q՚,qʼ","\u0071\u0027,\u0071\uff07,\u0071\u055a,\u0071\u02bc"
q°,\u0071\u00b0,,
q̓°,\u0071\u0313\u00b0,,
qv,\u0071\u0076,,
q̓v,\u0071\u0313\u0076,"q̒v,q̔v,q̕v,q̍v","\u0071\u0312\u0076,\u0071\u0314\u0076,\u0071\u0315\u0076,\u0071\u030d\u0076"
qw,\u0071\u0077,,
qʷ,\u0071\u02b7,,
q̓ʷ,\u0071\u0313\u02b7,"q̕ʷ,q̒ʷ,q̔ʷ,q̍ʷ","\u0071\u0315\u02b7,\u0071\u0312\u02b7,\u0071\u0314\u02b7,\u0071\u030d\u02b7"
q̓w,\u0071\u0313\u0077,"q̕w,q̒w,q̔w,q̍w","\u0071\u0315\u0077,\u0071\u0312\u0077,\u0071\u0314\u0077,\u0071\u030d\u0077"
q̕ʷ,\u0071\u0315\u02b7,"q̒ʷ,q̔ʷ,q̓ʷ,q̍ʷ","\u0071\u0312\u02b7,\u0071\u0314\u02b7,\u0071\u0313\u02b7,\u0071\u030d\u02b7"
qw',\u0071\u0077\u0027,"qw’,qw＇,qw՚,qwʼ","\u0071\u0077\u2019,\u0071\u0077\uff07,\u0071\u0077\u055a,\u0071\u0077\u02bc"
qw’,\u0071\u0077\u2019,"qw',qw＇,qw՚,qwʼ","\u0071\u0077\u0027,\u0071\u0077\uff07,\u0071\u0077\u055a,\u0071\u0077\u02bc"
qʼ,\u0071\u02bc,"q̓,q̕,q',qˈ,q＇,q’,q՚","\u0071\u0313,\u0071\u0315,\u0071\u0027,\u0071\u02c8,\u0071\uff07,\u0071\u2019,\u0071\u055a"
qʼʷ,\u0071\u02bc\u02b7,"q'ʷ,q̕ʷ,q＇ʷ,qˈʷ,q̓ʷ,q’ʷ,q՚ʷ","\u0071\u0027\u02b7,\u0071\u0315\u02b7,\u0071\uff07\u02b7,\u0071\u02c8\u02b7,\u0071\u0313\u02b7,\u0071\u2019\u02b7,\u0071\u055a\u02b7"
r,\u0072,,
r̓,\u0072\u0313,"r̕,rʼ","\u0072\u0315,\u0072\u02bc"
r̕,\u0072\u0315,"r̓,rʼ","\u0072\u0313,\u0072\u02bc"
rh,\u0072\u0068,,
Rr,\u0052\u0072,,
rr,\u0072\u0072,,
rʼ,\u0072\u02bc,"r̓,r̕","\u0072\u0313,\u0072\u0315"
s,\u0073,,
S,\u0053,,
s̲,\u0073\u0332,"s̠,s̱","\u0073\u0320,\u0073\u0331"
Ś,\u015a,Ś,\u0053\u0301
ŝ,\u015d,ŝ,\u0073\u0302
š,\u0161,š,\u0073\u030c
š,\u0073\u030c,,
ṣ,\u0073\u0323,,
s̱,\u0073\u0331,"s̲,s̠,s_","\u0073\u0332,\u0073\u0320,\u0073\u005f"
sh,\u0073\u0068,,
s̷h,\u0073\u0337\u0068,s̸h,\u0073\u0338\u0068
shxw,\u0073\u0068\u0078\u0077,,
sr,\u0073\u0072,,
t,\u0074,,
T,\u0054,,
t̓,\u0074\u0313,"t̔,t̕,t̍,t̒","\u0074\u0314,\u0074\u0315,\u0074\u030d,\u0074\u0312"
t́,\u0074\u0301,,
T̸,\u0054\u0338,T̷,\u0054\u0337
t̕,\u0074\u0315,"t̔,t’,t՚,tʼ,t̍,t̒,t̓","\u0074\u0314,\u0074\u2019,\u0074\u055a,\u0074\u02bc,\u0074\u030d,\u0074\u0312,\u0074\u0313"
Ṯ,\u1e6e,"T̲,T̠,T_,Ṯ","\u0054\u0332,\u0054\u0320,\u0054\u005f,\u0054\u0331"
t',\u0074\u0027,"t̔,t̕,t＇,tˈ,t’,t՚,tʼ,t̒,t̓","\u0074\u0314,\u0074\u0315,\u0074\uff07,\u0074\u02c8,\u0074\u2019,\u0074\u055a,\u0074\u02bc,\u0074\u0312,\u0074\u0313"
t’,\u0074\u2019,"t̔,t̕,t＇,t',tˈ,t՚,tʼ,t̒,t̓","\u0074\u0314,\u0074\u0315,\u0074\uff07,\u0074\u0027,\u0074\u02c8,\u0074\u055a,\u0074\u02bc,\u0074\u0312,\u0074\u0313"
tˈ,\u0074\u02c8,"t̔,t̕,t＇,t',t՚,tʼ,t̒,t̓","\u0074\u0314,\u0074\u0315,\u0074\uff07,\u0074\u0027,\u0074\u055a,\u0074\u02bc,\u0074\u0312,\u0074\u0313"
th,\u0074\u0068,,
t̓h,\u0074\u0313\u0068,,
th',\u0074\u0068\u0027,"th＇,th’,thʼ,th՚","\u0074\u0068\uff07,\u0074\u0068\u2019,\u0074\u0068\u02bc,\u0074\u0068\u055a"
tj,\u0074\u006a,,
tl,\u0074\u006c,,
tl̕,\u0074\u006c\u0315,"tlˈ,tl̓,tl̒,tl̔,tlʼ,tl’,tl՚","\u0074\u006c\u02c8,\u0074\u006c\u0313,\u0074\u006c\u0312,\u0074\u006c\u0314,\u0074\u006c\u02bc,\u0074\u006c\u2019,\u0074\u006c\u055a"
tł,\u0074\u0142,"tl̸,tl̷","\u0074\u006c\u0338,\u0074\u006c\u0337"
t́ł,\u0074\u0301\u0142,,
t̕ł,\u0074\u0315\u0142,"t̔ł,tʼl̸,t̔l̷,t̕l̷,t̔l̸,tʼl̷,t̕l̸,t’ł,tʼł,t՚l̷,t՚l̸,t’l̸,t’l̷,t՚ł","\u0074\u0314\u0142,\u0074\u02bc\u006c\u0338,\u0074\u0314\u006c\u0337,\u0074\u0315\u006c\u0337,\u0074\u0314\u006c\u0338,\u0074\u02bc\u006c\u0337,\u0074\u0315\u006c\u0338,\u0074\u2019\u0142,\u0074\u02bc\u0142,\u0074\u055a\u006c\u0337,\u0074\u055a\u006c\u0338,\u0074\u2019\u006c\u0338,\u0074\u2019\u006c\u0337,\u0074\u055a\u0142"
tl',\u0074\u006c\u0027,"tl’,tlˈ,tl՚,tlʼ,tl̓,tl̒,tl̕,tl＇,tl̔","\u0074\u006c\u2019,\u0074\u006c\u02c8,\u0074\u006c\u055a,\u0074\u006c\u02bc,\u0074\u006c\u0313,\u0074\u006c\u0312,\u0074\u006c\u0315,\u0074\u006c\uff07,\u0074\u006c\u0314"
tł',\u0074\u0142\u0027,"tł＇,tł’,tł̕,tł̒,tł̔,tłʼ,tłˈ,tł՚","\u0074\u0142\uff07,\u0074\u0142\u2019,\u0074\u0142\u0315,\u0074\u0142\u0312,\u0074\u0142\u0314,\u0074\u0142\u02bc,\u0074\u0142\u02c8,\u0074\u0142\u055a"
tl’,\u0074\u006c\u2019,"tlˈ,tl՚,tlʼ,tl̓,tl̒,tl̕,tl＇,tl̔,tl'","\u0074\u006c\u02c8,\u0074\u006c\u055a,\u0074\u006c\u02bc,\u0074\u006c\u0313,\u0074\u006c\u0312,\u0074\u006c\u0315,\u0074\u006c\uff07,\u0074\u006c\u0314,\u0074\u006c\u0027"
tł’,\u0074\u0142\u2019,"tł＇,tł',tł̕,tł̒,tł̔,tłʼ,tłˈ,tł՚","\u0074\u0142\uff07,\u0074\u0142\u0027,\u0074\u0142\u0315,\u0074\u0142\u0312,\u0074\u0142\u0314,\u0074\u0142\u02bc,\u0074\u0142\u02c8,\u0074\u0142\u055a"
tll,\u0074\u006c\u006c,,
tlʼ,\u0074\u006c\u02bc,"tl’,tlˈ,tl՚,tl̓,tl̒,tl̕,tl＇,tl̔,tl'","\u0074\u006c\u2019,\u0074\u006c\u02c8,\u0074\u006c\u055a,\u0074\u006c\u0313,\u0074\u006c\u0312,\u0074\u006c\u0315,\u0074\u006c\uff07,\u0074\u006c\u0314,\u0074\u006c\u0027"
tr,\u0074\u0072,,
trʼ,\u0074\u0072\u02bc,"tr̓,tr̕","\u0074\u0072\u0313,\u0074\u0072\u0315"
ts,\u0074\u0073,,
ʦ,\u02a6,ts,\u0074\u0073
ts̓,\u0074\u0073\u0313,"ts̒,ts̔,ts̕,tsˈ,ts՚,ts’,tsʼ","\u0074\u0073\u0312,\u0074\u0073\u0314,\u0074\u0073\u0315,\u0074\u0073\u02c8,\u0074\u0073\u055a,\u0074\u0073\u2019,\u0074\u0073\u02bc"
tŝ,\u0074\u015d,tŝ,\u0074\u0073\u0302
ts̕,\u0074\u0073\u0315,"tsˈ,ts̓,ts̒,ts̔,tsʼ,ts’,ts՚","\u0074\u0073\u02c8,\u0074\u0073\u0313,\u0074\u0073\u0312,\u0074\u0073\u0314,\u0074\u0073\u02bc,\u0074\u0073\u2019,\u0074\u0073\u055a"
ts̱,\u0074\u0073\u0331,"ts̲,ts̠,ts_","\u0074\u0073\u0332,\u0074\u0073\u0320,\u0074\u0073\u005f"
t̲s̲,\u0074\u0332\u0073\u0332,"t̠s̠,ṯs̠,t̠s̱,ṯs̱","\u0074\u0320\u0073\u0320,\u0074\u0331\u0073\u0320,\u0074\u0320\u0073\u0331,\u0074\u0331\u0073\u0331"
t́s,\u0074\u0301\u0073,,
t̕s,\u0074\u0315\u0073,"t̔s,tʼs,t’s,t՚s","\u0074\u0314\u0073,\u0074\u02bc\u0073,\u0074\u2019\u0073,\u0074\u055a\u0073"
ṯs̲,\u1e6f\u0073\u0332,"t̲s̲,ṯs̠","\u0074\u0332\u0073\u0332,\u0074\u0331\u0073\u0320"
ts',\u0074\u0073\u0027,"ts̒,ts̔,ts̓,ts̕,tsˈ,ts՚,ts＇,ts’,tsʼ","\u0074\u0073\u0312,\u0074\u0073\u0314,\u0074\u0073\u0313,\u0074\u0073\u0315,\u0074\u0073\u02c8,\u0074\u0073\u055a,\u0074\u0073\uff07,\u0074\u0073\u2019,\u0074\u0073\u02bc"
ts’,\u0074\u0073\u2019,"ts̒,ts̔,ts̓,ts̕,tsˈ,ts',ts՚,ts＇,tsʼ","\u0074\u0073\u0312,\u0074\u0073\u0314,\u0074\u0073\u0313,\u0074\u0073\u0315,\u0074\u0073\u02c8,\u0074\u0073\u0027,\u0074\u0073\u055a,\u0074\u0073\uff07,\u0074\u0073\u02bc"
tŝ’,\u0074\u015d\u2019,"tŝ＇,tŝ',tŝ̓,tŝ̕,tŝ̒,tŝ̔,tŝʼ,tŝˈ,tŝ՚","\u0074\u015d\uff07,\u0074\u015d\u0027,\u0074\u015d\u0313,\u0074\u015d\u0315,\u0074\u015d\u0312,\u0074\u015d\u0314,\u0074\u015d\u02bc,\u0074\u015d\u02c8,\u0074\u015d\u055a"
ts̱’,\u0074\u0073\u0331\u2019,"ts̱',ts̱ʼ,ts̱՚,ts̱＇,ts̲',ts̲ʼ,ts̲՚,ts̲＇,ts̠',ts̠ʼ,ts̠՚,ts̠＇,ts_',ts_ʼ,ts_՚,ts_＇","\u0074\u0073\u0331\u0027,\u0074\u0073\u0331\u02bc,\u0074\u0073\u0331\u055a,\u0074\u0073\u0331\uff07,\u0074\u0073\u0332\u0027,\u0074\u0073\u0332\u02bc,\u0074\u0073\u0332\u055a,\u0074\u0073\u0332\uff07,\u0074\u0073\u0320\u0027,\u0074\u0073\u0320\u02bc,\u0074\u0073\u0320\u055a,\u0074\u0073\u0320\uff07,\u0074\u0073\u005f\u0027,\u0074\u0073\u005f\u02bc,\u0074\u0073\u005f\u055a,\u0074\u0073\u005f\uff07"
t̲s̲’,\u0074\u0332\u0073\u0332\u2019,"t̲s̲̕,ṯs̠＇,t̲s̲՚,ṯs̠',ṯs̠ˈ,t̲s̲ʼ,ṯs̠՚,ṯs̠ʼ,t̲s̲̒,t̲s̲̓,t̲s̲̔,ṯs̠̒,ṯs̠̓,t̲s̲',ṯs̠̔,t̲s̲ˈ,t̲s̲＇,ṯs̠̕,ṯs̠’","\u0074\u0332\u0073\u0332\u0315,\u0074\u0331\u0073\u0320\uff07,\u0074\u0332\u0073\u0332\u055a,\u0074\u0331\u0073\u0320\u0027,\u0074\u0331\u0073\u0320\u02c8,\u0074\u0332\u0073\u0332\u02bc,\u0074\u0331\u0073\u0320\u055a,\u0074\u0331\u0073\u0320\u02bc,\u0074\u0332\u0073\u0332\u0312,\u0074\u0332\u0073\u0332\u0313,\u0074\u0332\u0073\u0332\u0314,\u0074\u0331\u0073\u0320\u0312,\u0074\u0331\u0073\u0320\u0313,\u0074\u0332\u0073\u0332\u0027,\u0074\u0331\u0073\u0320\u0314,\u0074\u0332\u0073\u0332\u02c8,\u0074\u0332\u0073\u0332\uff07,\u0074\u0331\u0073\u0320\u0315,\u0074\u0331\u0073\u0320\u2019"
ṯs̲’,\u1e6f\u0073\u0332\u2019,"t̲s̲’,ṯs̠’,t̲s̲̓,t̲s̲̕,t̲s̲̒,t̲s̲̔,t̲s̲ʼ,t̲s̲ˈ,t̲s̲՚,t̲s̲＇,t̲s̲',ṯs̠̓,ṯs̠̕,ṯs̠̒,ṯs̠̔,ṯs̠ʼ,ṯs̠ˈ,ṯs̠՚,ṯs̠＇,ṯs̠'","\u0074\u0332\u0073\u0332\u2019,\u0074\u0331\u0073\u0320\u2019,\u0074\u0332\u0073\u0332\u0313,\u0074\u0332\u0073\u0332\u0315,\u0074\u0332\u0073\u0332\u0312,\u0074\u0332\u0073\u0332\u0314,\u0074\u0332\u0073\u0332\u02bc,\u0074\u0332\u0073\u0332\u02c8,\u0074\u0332\u0073\u0332\u055a,\u0074\u0332\u0073\u0332\uff07,\u0074\u0332\u0073\u0332\u0027,\u0074\u0331\u0073\u0320\u0313,\u0074\u0331\u0073\u0320\u0315,\u0074\u0331\u0073\u0320\u0312,\u0074\u0331\u0073\u0320\u0314,\u0074\u0331\u0073\u0320\u02bc,\u0074\u0331\u0073\u0320\u02c8,\u0074\u0331\u0073\u0320\u055a,\u0074\u0331\u0073\u0320\uff07,\u0074\u0331\u0073\u0320\u0027"
tsˈ,\u0074\u0073\u02c8,"ts̒,ts̔,ts̓,ts̕,ts՚,ts’,tsʼ","\u0074\u0073\u0312,\u0074\u0073\u0314,\u0074\u0073\u0313,\u0074\u0073\u0315,\u0074\u0073\u055a,\u0074\u0073\u2019,\u0074\u0073\u02bc"
tsʼ,\u0074\u0073\u02bc,"ts̒,ts̔,ts̓,ts̕,tsˈ,ts՚,ts’","\u0074\u0073\u0312,\u0074\u0073\u0314,\u0074\u0073\u0313,\u0074\u0073\u0315,\u0074\u0073\u02c8,\u0074\u0073\u055a,\u0074\u0073\u2019"
tt,\u0074\u0074,,
tth,\u0074\u0074\u0068,,
tth',\u0074\u0074\u0068\u0027,"tthʼ,tth՚,tthˈ,tth’,tth＇,tth̔,tth̕,tth̒,tth̓","\u0074\u0074\u0068\u02bc,\u0074\u0074\u0068\u055a,\u0074\u0074\u0068\u02c8,\u0074\u0074\u0068\u2019,\u0074\u0074\u0068\uff07,\u0074\u0074\u0068\u0314,\u0074\u0074\u0068\u0315,\u0074\u0074\u0068\u0312,\u0074\u0074\u0068\u0313"
tth’,\u0074\u0074\u0068\u2019,"tthʼ,tth՚,tthˈ,tth＇,tth',tth̔,tth̕,tth̒,tth̓","\u0074\u0074\u0068\u02bc,\u0074\u0074\u0068\u055a,\u0074\u0074\u0068\u02c8,\u0074\u0074\u0068\uff07,\u0074\u0074\u0068\u0027,\u0074\u0074\u0068\u0314,\u0074\u0074\u0068\u0315,\u0074\u0074\u0068\u0312,\u0074\u0074\u0068\u0313"
tthʼ,\u0074\u0074\u0068\u02bc,"tth՚,tthˈ,tth’,tth＇,tth',tth̔,tth̕,tth̒,tth̓","\u0074\u0074\u0068\u055a,\u0074\u0074\u0068\u02c8,\u0074\u0074\u0068\u2019,\u0074\u0074\u0068\uff07,\u0074\u0074\u0068\u0027,\u0074\u0074\u0068\u0314,\u0074\u0074\u0068\u0315,\u0074\u0074\u0068\u0312,\u0074\u0074\u0068\u0313"
tʼ,\u0074\u02bc,"t̔,t̕,t＇,t',tˈ,t’,t՚,t̒,t̓","\u0074\u0314,\u0074\u0315,\u0074\uff07,\u0074\u0027,\u0074\u02c8,\u0074\u2019,\u0074\u055a,\u0074\u0312,\u0074\u0313"
tᶿ,\u0074\u1dbf,,
t̓ᶿ,\u0074\u0313\u1dbf,"t̒ᶿ,t̍ᶿ,t̕ᶿ,t̔ᶿ","\u0074\u0312\u1dbf,\u0074\u030d\u1dbf,\u0074\u0315\u1dbf,\u0074\u0314\u1dbf"
t̕ᶿ,\u0074\u0315\u1dbf,"t̓ᶿ,t̔ᶿ,t̒ᶿ,t̍ᶿ","\u0074\u0313\u1dbf,\u0074\u0314\u1dbf,\u0074\u0312\u1dbf,\u0074\u030d\u1dbf"
Ŧ,\u0166,"T̵,T̶","\u0054\u0335,\u0054\u0336"
u,\u0075,,
U,\u0055,,
u̲,\u0075\u0332,"u̠,u̱","\u0075\u0320,\u0075\u0331"
u̓,\u0075\u0313,"uˈ,u̕,u̒,u̔,uʼ,u’,u՚","\u0075\u02c8,\u0075\u0315,\u0075\u0312,\u0075\u0314,\u0075\u02bc,\u0075\u2019,\u0075\u055a"
ú,\u00fa,ú,\u0075\u0301
Ú,\u00da,Ú,\u0055\u0301
ú,\u0075\u0301,,
ù,\u00f9,ù,\u0075\u0300
ŭ,\u016d,"ǔ,ǔ","\u01d4,\u0075\u030c"
û,\u00fb,û,\u0075\u0302
ǔ,\u01d4,ǔ,\u0075\u030c
ü,\u00fc,ü,\u0075\u0308
ų,\u0173,ų,\u0075\u0328
Ų,\u0172,Ų,\u0055\u0328
ų́,\u0173\u0301,ų́,\u0075\u0328\u0301
Ų́,\u0172\u0301,Ų́,\u0055\u0328\u0301
ų̀,\u0173\u0300,ų̀,\u0075\u0328\u0300
ų̂,\u0173\u0302,ų̂,\u0075\u0328\u0302
ų̌,\u0173\u030c,ų̌,\u0075\u0328\u030c
ų̈,\u0173\u0308,ų̈,\u0075\u0328\u0308
ų̄,\u0173\u0304,ų̄,\u0075\u0328\u0304
ų̄́,\u0173\u0304\u0301,ų̄́,\u0075\u0328\u0304\u0301
ų̄̀,\u0173\u0304\u0300,ų̄̀,\u0075\u0328\u0304\u0300
ū,\u016b,"ū,u̅,u︤,u︥,u¯,u‾","\u0075\u0304,\u0075\u0305,\u0075\ufe24,\u0075\ufe25,\u0075\u00af,\u0075\u203e"
ū́,\u016b\u0301,ū́,\u0075\u0304\u0301
ū̀,\u016b\u0300,ū̀,\u0075\u0304\u0300
u̱,\u0075\u0331,"u̲,u̠,u_","\u0075\u0332,\u0075\u0320,\u0075\u005f"
u:,\u0075\u003a,"u：,u꞉,u˸","\u0075\uff1a,\u0075\ua789,\u0075\u02f8"
u·,\u0075\u00b7,,
u',\u0075\u0027,"u＇,u’,u̓,u̕,u̒,u̔,uʼ,uˈ,u՚","\u0075\uff07,\u0075\u2019,\u0075\u0313,\u0075\u0315,\u0075\u0312,\u0075\u0314,\u0075\u02bc,\u0075\u02c8,\u0075\u055a"
u’,\u0075\u2019,"u＇,u',u̓,u̕,u̒,u̔,uʼ,uˈ,u՚","\u0075\uff07,\u0075\u0027,\u0075\u0313,\u0075\u0315,\u0075\u0312,\u0075\u0314,\u0075\u02bc,\u0075\u02c8,\u0075\u055a"
uˈu,\u0075\u02c8\u0075,"u＇u,u'u,u̕u,uʼu,u՚u","\u0075\uff07\u0075,\u0075\u0027\u0075,\u0075\u0315\u0075,\u0075\u02bc\u0075,\u0075\u055a\u0075"
üˈü,\u00fc\u02c8\u00fc,"ü＇ü,ü'ü,üʼü,ü՚ü,ü＇ü,ü'ü,üʼü,üˈü,ü՚ü","\u00fc\uff07\u00fc,\u00fc\u0027\u00fc,\u00fc\u02bc\u00fc,\u00fc\u055a\u00fc,\u0075\u0308\uff07\u0075\u0308,\u0075\u0308\u0027\u0075\u0308,\u0075\u0308\u02bc\u0075\u0308,\u0075\u0308\u02c8\u0075\u0308,\u0075\u0308\u055a\u0075\u0308"
uu,\u0075\u0075,,
úu,\u00fa\u0075,úu,\u0075\u0301\u0075
üü,\u00fc\u00fc,"üü,üü,üü","\u0075\u0308\u0075\u0308,\u0075\u0308\u00fc,\u00fc\u0075\u0308"
ūu,\u016b\u0075,"ūu,u̅u","\u0075\u0304\u0075,\u0075\u0305\u0075"
úw,\u00fa\u0077,úw,\u0075\u0301\u0077
uy,\u0075\u0079,,
ʊ,\u028a,,
v,\u0076,,
v́,\u0076\u0301,"v̍,v̓","\u0076\u030d,\u0076\u0313"
w,\u0077,,
W,\u0057,,
w̓,\u0077\u0313,"w̍,w̒,w̔,w̕","\u0077\u030d,\u0077\u0312,\u0077\u0314,\u0077\u0315"
ŵ,\u0175,ŵ,\u0077\u0302
ẅ,\u1e85,ẅ,\u1e85
w̕,\u0077\u0315,"wˈ,w̓,w̒,w̔,wʼ,w’,w՚","\u0077\u02c8,\u0077\u0313,\u0077\u0312,\u0077\u0314,\u0077\u02bc,\u0077\u2019,\u0077\u055a"
W̱,\u0057\u0331,"W̲,W̠,W_","\u0057\u0332,\u0057\u0320,\u0057\u005f"
w',\u0077\u0027,"w＇,w’,w̓,w̕,w̒,w̔,wʼ,wˈ,w՚","\u0077\uff07,\u0077\u2019,\u0077\u0313,\u0077\u0315,\u0077\u0312,\u0077\u0314,\u0077\u02bc,\u0077\u02c8,\u0077\u055a"
wą,\u0077\u0105,wą,\u0077\u0061\u0328
waa,\u0077\u0061\u0061,,
wąą,\u0077\u0105\u0105,"wąą,waą̨,wąą","\u0077\u0061\u0328\u0061\u0328,\u0077\u0061\u0105\u0328,\u0077\u0105\u0061\u0328"
we,\u0077\u0065,,
wea,\u0077\u0065\u0061,,
węą,\u0077\u0119\u0105,"węą,węą,węą","\u0077\u0065\u0328\u0061\u0328,\u0077\u0119\u0061\u0328,\u0077\u0065\u0328\u0105"
wh,\u0077\u0068,,
wi,\u0077\u0069,,
wii,\u0077\u0069\u0069,,
wʼ,\u0077\u02bc,"wˈ,w̕,w̒,w̔,w̓,w’,w՚","\u0077\u02c8,\u0077\u0315,\u0077\u0312,\u0077\u0314,\u0077\u0313,\u0077\u2019,\u0077\u055a"
x,\u0078,,
X,\u0058,,
x̌,\u0078\u030c,,
x̄,\u0078\u0304,"x̅,x︤,x︥,x¯,x‾","\u0078\u0305,\u0078\ufe24,\u0078\ufe25,\u0078\u00af,\u0078\u203e"
x̣,\u0078\u0323,,
x̱,\u0078\u0331,"x_,x̠,x̲","\u0078\u005f,\u0078\u0320,\u0078\u0332"
X̱,\u0058\u0331,"X̠,X̲,X_","\u0058\u0320,\u0058\u0332,\u0058\u005f"
x°,\u0078\u00b0,,
x̄°,\u0078\u0304\u00b0,"x̅°,x︤°,x︥°,x¯°,x‾°","\u0078\u0305\u00b0,\u0078\ufe24\u00b0,\u0078\ufe25\u00b0,\u0078\u00af\u00b0,\u0078\u203e\u00b0"
xv,\u0078\u0076,,
x̌v,\u0078\u030c\u0076,,
xw,\u0078\u0077,,
xʷ,\u0078\u02b7,,
xw̕,\u0078\u0077\u0315,"xwˈ,xw̓,xw̒,xw̔,xwʼ,xw’,xw՚","\u0078\u0077\u02c8,\u0078\u0077\u0313,\u0078\u0077\u0312,\u0078\u0077\u0314,\u0078\u0077\u02bc,\u0078\u0077\u2019,\u0078\u0077\u055a"
x̌ʷ,\u0078\u030c\u02b7,,
x̣ʷ,\u0078\u0323\u02b7,,
x̱w,\u0078\u0331\u0077,"x_w,x̠w,x̲w","\u0078\u005f\u0077,\u0078\u0320\u0077,\u0078\u0332\u0077"
y,\u0079,,
Y,\u0059,,
y̓,\u0079\u0313,"y̍,y̒,y̔,y̕","\u0079\u030d,\u0079\u0312,\u0079\u0314,\u0079\u0315"
ÿ,\u00ff,ÿ,\u0079\u0308
y̕,\u0079\u0315,"yˈ,y̓,y̒,y̔,yʼ,y’,y՚","\u0079\u02c8,\u0079\u0313,\u0079\u0312,\u0079\u0314,\u0079\u02bc,\u0079\u2019,\u0079\u055a"
yh,\u0079\u0068,,
yʼ,\u0079\u02bc,"yˈ,y̓,y̒,y̔,y̕,y’,y՚","\u0079\u02c8,\u0079\u0313,\u0079\u0312,\u0079\u0314,\u0079\u0315,\u0079\u2019,\u0079\u055a"
z,\u007a,,
Z,\u005a,,
z̲,\u007a\u0332,"z_,z̠,ẕ","\u007a\u005f,\u007a\u0320,\u007a\u0331"
z̓,\u007a\u0313,"z՚,zʼ,z̒,z̔,z̕,zˈ,z’","\u007a\u055a,\u007a\u02bc,\u007a\u0312,\u007a\u0314,\u007a\u0315,\u007a\u02c8,\u007a\u2019"
ẑ,\u1e91,ẑ,\u007a\u0302
ẕ,\u1e95,"z̲,z̠,z_,ẕ","\u007a\u0332,\u007a\u0320,\u007a\u005f,\u007a\u0331"
zh,\u007a\u0068,,
zr,\u007a\u0072,,
ʔ,\u0294,"ɂ,Ɂ,ॽ","\u0242,\u0241,\u097d"
ʔa,\u0294\u0061,"Ɂa,ɂa,ॽa","\u0241\u0061,\u0242\u0061,\u097d\u0061"
ʔaa,\u0294\u0061\u0061,"Ɂaa,ɂaa,ॽaa","\u0241\u0061\u0061,\u0242\u0061\u0061,\u097d\u0061\u0061"
ʔe,\u0294\u0065,"Ɂe,ɂe,ॽe","\u0241\u0065,\u0242\u0065,\u097d\u0065"
ʔee,\u0294\u0065\u0065,"Ɂee,ɂee,ॽee","\u0241\u0065\u0065,\u0242\u0065\u0065,\u097d\u0065\u0065"
